Arboreal	Non-arboreal	Semi-arboreal
165	0.115	0.772	0.113
166	0.015	0.972	0.013
167	0.097	0.831	0.072
168	0.185	0.797	0.018
169	0.001	0.997	0.002
170	0.237	0.751	0.012
171	0.763	0.039	0.198
172	0.752	0.03	0.218
173	0.136	0.008	0.856
174	0.227	0.77	0.003
175	0.219	0.781	0
176	0.106	0.893	0.001
177	0.068	0.93	0.002
178	0.008	0.987	0.005
179	0.007	0.993	0
180	0	1	0
181	0.436	0.557	0.007
182	0.449	0.545	0.006
183	0.53	0.465	0.005
184	0.536	0.459	0.005
185	0.041	0.956	0.003
186	0.005	0.995	0
187	0.936	0.063	0.001
188	0.983	0.017	0
189	0.993	0.006	0.001
190	0.572	0.372	0.056
191	0.005	0.995	0
192	0.004	0.996	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0.003	0.997	0
197	0	1	0
198	0	1	0
199	0	1	0
200	0.012	0.854	0.134
201	0	1	0
202	0.007	0.993	0
203	0.001	0.999	0
204	0.003	0.987	0.01
205	0	1	0
206	0	1	0
207	0	1	0
208	0	1	0
209	0	1	0
210	0.001	0.997	0.002
211	0.004	0.991	0.005
212	0.004	0.986	0.01
213	0	1	0
214	0	1	0
215	0	1	0
216	0	1	0
217	0.001	0.997	0.002
218	0	0.996	0.004
219	0.001	0.995	0.004
220	0	0.996	0.004
221	0.001	0.995	0.004
222	0.001	0.985	0.014
223	0.003	0.99	0.007
224	0.035	0.939	0.026
225	0.032	0.916	0.052
226	0.03	0.915	0.055
227	0.03	0.897	0.073
228	0.024	0.898	0.078
229	0.003	0.983	0.014
230	0.003	0.992	0.005
231	0.978	0.019	0.003
232	0.002	0.99	0.008
233	0.004	0.958	0.038
234	0.002	0.986	0.012
235	0.004	0.969	0.027
236	0	1	0
237	0.001	0.999	0
238	0.003	0.997	0
239	0	1	0
240	0	1	0
241	0.001	0.998	0.001
242	0	1	0
243	0	1	0
244	0	1	0
245	0	1	0
246	0	1	0
247	0	1	0
248	0	1	0
249	0	1	0
250	0	1	0
251	0	1	0
252	0	1	0
253	0	1	0
254	0	1	0
255	0	1	0
256	0	1	0
257	0	1	0
258	0	1	0
259	0	1	0
260	0	1	0
261	0.092	0.905	0.003
262	0.085	0.912	0.003
263	0.265	0.514	0.221
264	0.019	0.98	0.001
265	0.005	0.995	0
266	0	1	0
267	0	1	0
268	0.001	0.998	0.001
269	0	0.999	0.001
270	0	1	0
271	0.021	0.975	0.004
272	0.002	0.998	0
273	0.001	0.999	0
274	0	1	0
275	0	1	0
276	0	1	0
277	0	1	0
278	0.022	0.957	0.021
279	0.024	0.93	0.046
280	0	1	0
281	0	0.999	0.001
282	0	1	0
283	0	1	0
284	0	1	0
285	0	1	0
286	0	1	0
287	0	1	0
288	0	1	0
289	0	1	0
290	0	1	0
291	0	1	0
292	0	0.998	0.002
293	0	1	0
294	0	0.998	0.002
295	0	1	0
296	0	1	0
297	0	1	0
298	0.576	0.42	0.004
299	0.999	0	0.001
300	0.927	0.071	0.002
301	0.966	0.031	0.003
302	0.977	0.017	0.006
303	1	0	0
304	1	0	0
305	0.92	0.041	0.039
306	0.926	0.051	0.023
307	0.996	0.002	0.002
308	0.997	0.002	0.001
309	0.997	0.002	0.001
310	0.992	0.002	0.006
311	0.993	0.002	0.005
312	0.006	0.994	0
313	0.106	0.884	0.01
314	0.301	0.693	0.006
315	0.941	0.052	0.007
316	0.322	0.667	0.011
317	0	0.999	0.001
318	0	1	0
319	0	1	0
320	0	0.998	0.002
321	0	0.999	0.001
322	0	0.997	0.003
323	0	1	0
324	0.002	0.998	0
325	0	1	0
326	0	1	0
327	0	1	0
