Arboreal	Non-arboreal	Semi-arboreal
165	0.545	0.131	0.324
166	0.013	0.904	0.083
167	0.643	0.152	0.205
168	0.621	0.067	0.312
169	0.001	0.969	0.03
170	0.692	0.014	0.294
171	0.861	0	0.139
172	0.846	0	0.154
173	0.52	0.002	0.478
174	0.63	0.009	0.361
175	0.553	0.01	0.437
176	0.452	0.033	0.515
177	0.389	0.08	0.531
178	0.159	0.275	0.566
179	0.011	0.837	0.152
180	0.001	0.978	0.021
181	0.631	0.001	0.368
182	0.6	0.035	0.365
183	0.656	0	0.344
184	0.654	0.001	0.345
185	0.063	0.606	0.331
186	0.009	0.831	0.16
187	0.823	0	0.177
188	0.858	0	0.142
189	0.911	0.001	0.088
190	0.619	0.005	0.376
191	0.222	0.105	0.673
192	0.197	0.042	0.761
193	0.012	0.123	0.865
194	0.007	0.554	0.439
195	0.006	0.65	0.344
196	0.001	0.937	0.062
197	0.005	0.714	0.281
198	0.002	0.13	0.868
199	0.009	0.167	0.824
200	0.052	0.48	0.468
201	0.021	0.389	0.59
202	0.06	0.367	0.573
203	0.001	0.655	0.344
204	0.004	0.642	0.354
205	0	0.723	0.277
206	0	0.876	0.124
207	0	0.923	0.077
208	0.005	0.552	0.443
209	0.001	0.611	0.388
210	0	0.525	0.475
211	0.001	0.491	0.508
212	0.003	0.493	0.504
213	0.001	0.658	0.341
214	0	0.943	0.057
215	0.001	0.978	0.021
216	0.001	0.133	0.866
217	0.04	0.027	0.933
218	0.066	0.004	0.93
219	0.058	0.007	0.935
220	0.044	0.07	0.886
221	0.036	0.131	0.833
222	0.04	0.17	0.79
223	0.075	0.005	0.92
224	0.175	0.003	0.822
225	0.147	0.003	0.85
226	0.126	0.006	0.868
227	0.099	0.07	0.831
228	0.082	0.065	0.853
229	0.083	0.058	0.859
230	0.047	0.048	0.905
231	0.97	0.001	0.029
232	0.025	0.3	0.675
233	0.042	0.388	0.57
234	0.017	0.451	0.532
235	0.008	0.675	0.317
236	0	0.192	0.808
237	0.008	0.793	0.199
238	0.006	0.847	0.147
239	0.002	0.844	0.154
240	0	0.878	0.122
241	0.001	0.955	0.044
242	0	0.934	0.066
243	0	0.965	0.035
244	0	1	0
245	0	1	0
246	0	0.998	0.002
247	0	0.999	0.001
248	0	0.957	0.043
249	0	0.995	0.005
250	0	0.998	0.002
251	0	1	0
252	0	1	0
253	0	0.999	0.001
254	0	0.998	0.002
255	0	0.999	0.001
256	0	0.999	0.001
257	0	1	0
258	0	0.999	0.001
259	0	1	0
260	0	0.997	0.003
261	0.421	0.003	0.576
262	0.399	0.004	0.597
263	0.695	0.016	0.289
264	0.221	0.069	0.71
265	0.042	0.686	0.272
266	0.016	0.198	0.786
267	0.008	0.286	0.706
268	0.006	0.497	0.497
269	0.005	0.879	0.116
270	0.008	0.297	0.695
271	0.101	0.292	0.607
272	0.004	0.733	0.263
273	0.001	0.899	0.1
274	0	0.969	0.031
275	0	0.988	0.012
276	0	0.993	0.007
277	0.015	0.208	0.777
278	0.1	0.183	0.717
279	0.104	0.262	0.634
280	0.008	0.604	0.388
281	0.008	0.864	0.128
282	0	0.95	0.05
283	0	0.972	0.028
284	0	0.978	0.022
285	0	0.987	0.013
286	0	0.977	0.023
287	0	0.983	0.017
288	0	0.987	0.013
289	0	0.989	0.011
290	0	0.986	0.014
291	0	0.992	0.008
292	0	0.956	0.044
293	0	0.981	0.019
294	0	0.975	0.025
295	0	0.988	0.012
296	0	0.989	0.011
297	0	0.993	0.007
298	0.645	0.001	0.354
299	0.994	0	0.006
300	0.86	0	0.14
301	0.912	0.001	0.087
302	0.901	0	0.099
303	0.998	0	0.002
304	0.999	0	0.001
305	0.643	0	0.357
306	0.61	0.006	0.384
307	0.979	0	0.021
308	0.978	0	0.022
309	0.979	0	0.021
310	0.978	0	0.022
311	0.979	0	0.021
312	0.201	0.12	0.679
313	0.466	0.091	0.443
314	0.653	0.042	0.305
315	0.952	0.001	0.047
316	0.607	0.059	0.334
317	0.004	0.744	0.252
318	0.001	0.817	0.182
319	0.001	0.829	0.17
320	0.004	0.894	0.102
321	0	0.995	0.005
322	0.005	0.947	0.048
323	0.002	0.9	0.098
324	0	0.966	0.034
325	0.002	0.906	0.092
326	0	0.997	0.003
327	0	0.998	0.002
