Arboreal	Non-arboreal	Semi-arboreal
165	0.116	0.757	0.127
166	0.018	0.96	0.022
167	0.103	0.804	0.093
168	0.223	0.743	0.034
169	0.003	0.996	0.001
170	0.269	0.706	0.025
171	0.743	0.033	0.224
172	0.732	0.023	0.245
173	0.142	0.006	0.852
174	0.269	0.718	0.013
175	0.254	0.735	0.011
176	0.166	0.821	0.013
177	0.132	0.851	0.017
178	0.054	0.797	0.149
179	0.002	0.996	0.002
180	0	1	0
181	0.45	0.541	0.009
182	0.446	0.536	0.018
183	0.527	0.46	0.013
184	0.538	0.453	0.009
185	0.042	0.953	0.005
186	0.008	0.992	0
187	0.832	0.148	0.02
188	0.876	0.092	0.032
189	0.93	0.052	0.018
190	0.56	0.354	0.086
191	0.004	0.995	0.001
192	0.004	0.996	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0.002	0.996	0.002
197	0.002	0.997	0.001
198	0	1	0
199	0	1	0
200	0.013	0.827	0.16
201	0	1	0
202	0.008	0.989	0.003
203	0	1	0
204	0.002	0.981	0.017
205	0	1	0
206	0	1	0
207	0	1	0
208	0	1	0
209	0	1	0
210	0	0.979	0.021
211	0	0.947	0.053
212	0	0.946	0.054
213	0	1	0
214	0	1	0
215	0	1	0
216	0	1	0
217	0	1	0
218	0	0.999	0.001
219	0	0.999	0.001
220	0	0.999	0.001
221	0	0.998	0.002
222	0.001	0.992	0.007
223	0	0.993	0.007
224	0.024	0.947	0.029
225	0.026	0.91	0.064
226	0.02	0.912	0.068
227	0.013	0.911	0.076
228	0.017	0.893	0.09
229	0.001	0.98	0.019
230	0.001	0.998	0.001
231	0.983	0.015	0.002
232	0	0.998	0.002
233	0.004	0.966	0.03
234	0	1	0
235	0.001	0.999	0
236	0	1	0
237	0	0.998	0.002
238	0	0.996	0.004
239	0	1	0
240	0	1	0
241	0	0.998	0.002
242	0	1	0
243	0	1	0
244	0	1	0
245	0	1	0
246	0	1	0
247	0	1	0
248	0	0.999	0.001
249	0	1	0
250	0	1	0
251	0	0.999	0.001
252	0	0.999	0.001
253	0	1	0
254	0	1	0
255	0	1	0
256	0	1	0
257	0	1	0
258	0	1	0
259	0	1	0
260	0	1	0
261	0.081	0.915	0.004
262	0.079	0.917	0.004
263	0.269	0.484	0.247
264	0.019	0.981	0
265	0.003	0.996	0.001
266	0	1	0
267	0	1	0
268	0	1	0
269	0	1	0
270	0	1	0
271	0.02	0.969	0.011
272	0	0.999	0.001
273	0	1	0
274	0	1	0
275	0	1	0
276	0	1	0
277	0	0.999	0.001
278	0.016	0.957	0.027
279	0.02	0.926	0.054
280	0	1	0
281	0.001	0.997	0.002
282	0	1	0
283	0	1	0
284	0	0.999	0.001
285	0	0.999	0.001
286	0	1	0
287	0	1	0
288	0	1	0
289	0	1	0
290	0	1	0
291	0	1	0
292	0	0.996	0.004
293	0	0.999	0.001
294	0	1	0
295	0	1	0
296	0	1	0
297	0.001	0.998	0.001
298	0.593	0.404	0.003
299	0.997	0.001	0.002
300	0.935	0.064	0.001
301	0.964	0.034	0.002
302	0.976	0.015	0.009
303	1	0	0
304	1	0	0
305	0.897	0.045	0.058
306	0.899	0.067	0.034
307	0.998	0.001	0.001
308	0.996	0.002	0.002
309	0.999	0.001	0
310	0.989	0.001	0.01
311	0.992	0.001	0.007
312	0.004	0.995	0.001
313	0.131	0.859	0.01
314	0.322	0.665	0.013
315	0.964	0.031	0.005
316	0.335	0.649	0.016
317	0	1	0
318	0	1	0
319	0	1	0
320	0.002	0.996	0.002
321	0	1	0
322	0	0.996	0.004
323	0	0.999	0.001
324	0.001	0.995	0.004
325	0.001	0.998	0.001
326	0	1	0
327	0	1	0
