Arboreal	Non-arboreal	Semi-arboreal
165	0.493	0.168	0.339
166	0.019	0.92	0.061
167	0.574	0.222	0.204
168	0.62	0.105	0.275
169	0.001	0.973	0.026
170	0.675	0.048	0.277
171	0.834	0	0.166
172	0.809	0	0.191
173	0.437	0.002	0.561
174	0.631	0.03	0.339
175	0.578	0.031	0.391
176	0.416	0.146	0.438
177	0.289	0.263	0.448
178	0.031	0.806	0.163
179	0.009	0.881	0.11
180	0	0.979	0.021
181	0.761	0.003	0.236
182	0.715	0.029	0.256
183	0.807	0	0.193
184	0.809	0	0.191
185	0.078	0.665	0.257
186	0.015	0.885	0.1
187	0.935	0	0.065
188	0.962	0	0.038
189	0.97	0	0.03
190	0.816	0.001	0.183
191	0.198	0.185	0.617
192	0.146	0.118	0.736
193	0.006	0.272	0.722
194	0.005	0.625	0.37
195	0.003	0.714	0.283
196	0.003	0.942	0.055
197	0.007	0.757	0.236
198	0.001	0.286	0.713
199	0.004	0.318	0.678
200	0.042	0.598	0.36
201	0.017	0.515	0.468
202	0.049	0.499	0.452
203	0.002	0.749	0.249
204	0.001	0.732	0.267
205	0.001	0.793	0.206
206	0	0.904	0.096
207	0	0.93	0.07
208	0.005	0.619	0.376
209	0.001	0.652	0.347
210	0.003	0.524	0.473
211	0.005	0.469	0.526
212	0.005	0.479	0.516
213	0.001	0.705	0.294
214	0	0.943	0.057
215	0	0.982	0.018
216	0.001	0.291	0.708
217	0.02	0.056	0.924
218	0.016	0.022	0.962
219	0.024	0.034	0.942
220	0.018	0.141	0.841
221	0.019	0.221	0.76
222	0.025	0.247	0.728
223	0.021	0.018	0.961
224	0.101	0.006	0.893
225	0.1	0.012	0.888
226	0.091	0.018	0.891
227	0.077	0.095	0.828
228	0.073	0.101	0.826
229	0.027	0.069	0.904
230	0.035	0.065	0.9
231	0.976	0	0.024
232	0.016	0.195	0.789
233	0.039	0.319	0.642
234	0.02	0.25	0.73
235	0.036	0.336	0.628
236	0.002	0.341	0.657
237	0.007	0.812	0.181
238	0.003	0.853	0.144
239	0	0.854	0.146
240	0	0.896	0.104
241	0.001	0.96	0.039
242	0	0.943	0.057
243	0	0.979	0.021
244	0	0.997	0.003
245	0	0.998	0.002
246	0	0.996	0.004
247	0	0.997	0.003
248	0.001	0.952	0.047
249	0	0.996	0.004
250	0	0.996	0.004
251	0	0.996	0.004
252	0	0.998	0.002
253	0	0.998	0.002
254	0	0.99	0.01
255	0	0.998	0.002
256	0	0.999	0.001
257	0	0.999	0.001
258	0	0.997	0.003
259	0	0.999	0.001
260	0	0.996	0.004
261	0.33	0.008	0.662
262	0.308	0.016	0.676
263	0.647	0.039	0.314
264	0.147	0.182	0.671
265	0.041	0.789	0.17
266	0.016	0.39	0.594
267	0.004	0.462	0.534
268	0.009	0.631	0.36
269	0.004	0.914	0.082
270	0.005	0.474	0.521
271	0.067	0.448	0.485
272	0.004	0.792	0.204
273	0.001	0.921	0.078
274	0	0.971	0.029
275	0	0.983	0.017
276	0	0.987	0.013
277	0.018	0.394	0.588
278	0.083	0.357	0.56
279	0.089	0.451	0.46
280	0.003	0.699	0.298
281	0.004	0.876	0.12
282	0	0.959	0.041
283	0	0.972	0.028
284	0	0.977	0.023
285	0.001	0.984	0.015
286	0	0.99	0.01
287	0	0.995	0.005
288	0	0.989	0.011
289	0	0.995	0.005
290	0	0.991	0.009
291	0	0.992	0.008
292	0	0.963	0.037
293	0	0.98	0.02
294	0	0.989	0.011
295	0	0.999	0.001
296	0	0.997	0.003
297	0	0.992	0.008
298	0.559	0.002	0.439
299	0.994	0	0.006
300	0.839	0	0.161
301	0.913	0.001	0.086
302	0.899	0	0.101
303	0.998	0	0.002
304	0.997	0	0.003
305	0.692	0.002	0.306
306	0.676	0.007	0.317
307	0.976	0	0.024
308	0.993	0	0.007
309	0.981	0	0.019
310	0.969	0	0.031
311	0.97	0	0.03
312	0.2	0.213	0.587
313	0.448	0.153	0.399
314	0.614	0.072	0.314
315	0.949	0	0.051
316	0.598	0.089	0.313
317	0.012	0.787	0.201
318	0.005	0.849	0.146
319	0.004	0.866	0.13
320	0.006	0.913	0.081
321	0	0.99	0.01
322	0.003	0.945	0.052
323	0.006	0.882	0.112
324	0.012	0.807	0.181
325	0.006	0.893	0.101
326	0	0.996	0.004
327	0	0.994	0.006
