Arboreal	Non-arboreal	Semi-arboreal
165	0.276	0.4	0.324
166	0.023	0.903	0.074
167	0.289	0.452	0.259
168	0.002	0.892	0.106
169	0	0.888	0.112
170	0	0.909	0.091
171	0	0.927	0.073
172	0.001	0.942	0.057
173	0.001	0.951	0.048
174	0.005	0.959	0.036
175	0.001	0.918	0.081
176	0.001	0.971	0.028
177	0	0.996	0.004
178	0	0.982	0.018
179	0.001	0.978	0.021
180	0	0.997	0.003
181	0	0.997	0.003
182	0.001	0.978	0.021
183	0	0.996	0.004
184	0	0.99	0.01
185	0	1	0
186	0	1	0
187	0	1	0
188	0	1	0
189	0	1	0
190	0	0.998	0.002
191	0	1	0
192	0	0.999	0.001
193	0	1	0
194	0	1	0
195	0	1	0
196	0	0.998	0.002
197	0	0.993	0.007
198	0	1	0
199	0	0.999	0.001
200	0	1	0
201	0	0.997	0.003
202	0.001	0.973	0.026
203	0	0.969	0.031
204	0.007	0.846	0.147
205	0	0.925	0.075
206	0	0.966	0.034
207	0	0.987	0.013
208	0	0.991	0.009
209	0.001	0.897	0.102
210	0	0.985	0.015
211	0	0.985	0.015
212	0	0.983	0.017
213	0	0.994	0.006
214	0	0.997	0.003
215	0	0.951	0.049
216	0.001	0.928	0.071
217	0.001	0.914	0.085
218	0.008	0.853	0.139
219	0.012	0.481	0.507
220	0.016	0.383	0.601
221	0.012	0.456	0.532
222	0.04	0.497	0.463
223	0.004	0.674	0.322
224	0.003	0.7	0.297
225	0.005	0.695	0.3
226	0.086	0.162	0.752
227	0.133	0.087	0.78
228	0.127	0.084	0.789
229	0.128	0.083	0.789
230	0.119	0.164	0.717
231	0.115	0.175	0.71
232	0.027	0.493	0.48
233	0.008	0.696	0.296
234	0.007	0.787	0.206
235	0.005	0.831	0.164
236	0.012	0.713	0.275
237	0.787	0.005	0.208
238	0.016	0.617	0.367
239	0.239	0.075	0.686
240	0.558	0.036	0.406
241	0.97	0	0.03
242	0.704	0.034	0.262
243	0.522	0.01	0.468
244	0.888	0	0.112
245	0.951	0	0.049
246	0.919	0	0.081
247	0.906	0	0.094
248	0.887	0	0.113
249	0.617	0.01	0.373
250	0.796	0.001	0.203
251	0.982	0	0.018
252	0.986	0	0.014
253	0.584	0.004	0.412
254	0.526	0.021	0.453
255	0.001	0.84	0.159
256	0	0.856	0.144
257	0	0.857	0.143
258	0.035	0.752	0.213
259	0.051	0.758	0.191
260	0	0.886	0.114
261	0.004	0.944	0.052
262	0	0.987	0.013
263	0	0.997	0.003
264	0	0.992	0.008
265	0	0.991	0.009
266	0	0.994	0.006
267	0	0.996	0.004
268	0	0.996	0.004
269	0	0.991	0.009
270	0	0.991	0.009
271	0	0.997	0.003
272	0	0.992	0.008
273	0	0.999	0.001
274	0	0.997	0.003
275	0	0.98	0.02
276	0	0.988	0.012
277	0	0.995	0.005
278	0	0.945	0.055
279	0.09	0.615	0.295
280	0	0.962	0.038
281	0	0.971	0.029
282	0	0.982	0.018
283	0	0.994	0.006
284	0	0.989	0.011
285	0.001	0.983	0.016
286	0	0.973	0.027
287	0.001	0.988	0.011
288	0.005	0.939	0.056
289	0.002	0.897	0.101
290	0.056	0.72	0.224
291	0.156	0.5	0.344
292	0.228	0.471	0.301
293	0.773	0.024	0.203
294	0	0.92	0.08
295	0.001	0.978	0.021
296	0	0.992	0.008
297	0.001	0.977	0.022
298	0	1	0
299	0	0.997	0.003
300	0	0.934	0.066
301	0.001	0.948	0.051
302	0.003	0.951	0.046
303	0.007	0.947	0.046
304	0	0.988	0.012
305	0.461	0.194	0.345
306	0.005	0.948	0.047
307	0.474	0.169	0.357
308	0.8	0.007	0.193
309	0.799	0.006	0.195
310	0.694	0.014	0.292
311	0.395	0.126	0.479
312	0.344	0.133	0.523
313	0.287	0.217	0.496
314	0.279	0.256	0.465
315	0.012	0.904	0.084
316	0.001	0.979	0.02
317	0.159	0.507	0.334
318	0.505	0.04	0.455
319	0.509	0.094	0.397
320	0.559	0.006	0.435
321	0.625	0.011	0.364
322	0.554	0.008	0.438
323	0.034	0.775	0.191
324	0.004	0.926	0.07
325	0.765	0	0.235
326	0.818	0	0.182
327	0.827	0	0.173
