Arboreal	Non-arboreal	Semi-arboreal
165	0.083	0.841	0.076
166	0.015	0.97	0.015
167	0.078	0.859	0.063
168	0	1	0
169	0.001	0.999	0
170	0	1	0
171	0	1	0
172	0	1	0
173	0.001	0.999	0
174	0.001	0.997	0.002
175	0	1	0
176	0	1	0
177	0	1	0
178	0	1	0
179	0.001	0.999	0
180	0	1	0
181	0	1	0
182	0	0.999	0.001
183	0	1	0
184	0	1	0
185	0	1	0
186	0	1	0
187	0	1	0
188	0	1	0
189	0	1	0
190	0	1	0
191	0	1	0
192	0	1	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0	1	0
197	0	0.999	0.001
198	0	1	0
199	0	1	0
200	0	1	0
201	0	1	0
202	0.001	0.996	0.003
203	0	1	0
204	0.009	0.989	0.002
205	0	0.999	0.001
206	0	1	0
207	0	1	0
208	0	1	0
209	0.003	0.981	0.016
210	0	1	0
211	0	1	0
212	0	1	0
213	0	1	0
214	0	1	0
215	0	1	0
216	0.003	0.994	0.003
217	0.002	0.981	0.017
218	0.011	0.91	0.079
219	0.002	0.995	0.003
220	0.002	0.994	0.004
221	0.001	0.995	0.004
222	0.003	0.978	0.019
223	0	0.997	0.003
224	0	0.997	0.003
225	0.002	0.988	0.01
226	0.075	0.92	0.005
227	0.091	0.881	0.028
228	0.085	0.876	0.039
229	0.087	0.872	0.041
230	0.071	0.861	0.068
231	0.062	0.875	0.063
232	0.011	0.985	0.004
233	0.001	0.989	0.01
234	0.001	0.986	0.013
235	0.004	0.974	0.022
236	0.004	0.941	0.055
237	0.956	0.04	0.004
238	0.033	0.967	0
239	0.848	0.148	0.004
240	0.903	0.075	0.022
241	0.999	0.001	0
242	0.865	0.056	0.079
243	0.973	0.026	0.001
244	0.997	0.002	0.001
245	0.998	0.001	0.001
246	1	0	0
247	0.996	0	0.004
248	0.991	0	0.009
249	0.98	0.019	0.001
250	0.978	0.011	0.011
251	1	0	0
252	1	0	0
253	0.912	0.047	0.041
254	0.89	0.086	0.024
255	0.001	0.999	0
256	0	1	0
257	0	1	0
258	0.021	0.951	0.028
259	0.016	0.892	0.092
260	0	1	0
261	0.001	0.997	0.002
262	0	1	0
263	0	1	0
264	0	1	0
265	0	1	0
266	0	1	0
267	0	1	0
268	0	1	0
269	0	1	0
270	0	0.999	0.001
271	0	1	0
272	0	0.998	0.002
273	0	1	0
274	0	1	0
275	0	0.994	0.006
276	0	0.999	0.001
277	0	1	0
278	0	1	0
279	0.103	0.882	0.015
280	0	1	0
281	0	1	0
282	0	0.999	0.001
283	0	1	0
284	0	1	0
285	0	1	0
286	0	0.999	0.001
287	0.002	0.998	0
288	0.002	0.997	0.001
289	0	1	0
290	0.059	0.936	0.005
291	0.219	0.773	0.008
292	0.244	0.74	0.016
293	0.932	0.06	0.008
294	0	1	0
295	0.001	0.993	0.006
296	0.003	0.874	0.123
297	0.001	0.993	0.006
298	0	1	0
299	0	1	0
300	0	1	0
301	0	1	0
302	0.001	0.995	0.004
303	0.001	0.996	0.003
304	0	1	0
305	0.132	0.834	0.034
306	0.004	0.995	0.001
307	0.143	0.827	0.03
308	0.584	0.073	0.343
309	0.57	0.068	0.362
310	0.227	0.037	0.736
311	0.139	0.857	0.004
312	0.123	0.874	0.003
313	0.054	0.943	0.003
314	0.044	0.953	0.003
315	0.001	0.996	0.003
316	0	1	0
317	0.004	0.992	0.004
318	0.372	0.619	0.009
319	0.397	0.592	0.011
320	0.504	0.489	0.007
321	0.528	0.414	0.058
322	0.508	0.486	0.006
323	0.023	0.976	0.001
324	0.002	0.998	0
325	0.948	0.049	0.003
326	0.992	0.007	0.001
327	0.993	0.007	0
