Arboreal	Non-arboreal	Semi-arboreal
165	0.29221	0.471452	0.236338
166	0.019902	0.910174	0.069924
167	0.323794	0.532094	0.144112
168	0.068878	0.70132	0.229802
169	0.057952	0.663266	0.278782
170	0.008438	0.751952	0.23961
171	0.007652	0.76974	0.222608
172	0.006968	0.800964	0.192068
173	0.006644	0.838026	0.15533
174	0.004986	0.931346	0.063668
175	0.00676	0.751376	0.241864
176	0.0040980980980981	0.817367367367367	0.178534534534535
177	0.000901010101010101	0.896840404040404	0.102258585858586
178	0.000562	0.968356	0.031082
179	0.000402	0.975288	0.02431
180	0.00054	0.929486	0.069974
181	0.000262	0.954268	0.04547
182	0.00038	0.977624	0.021996
183	6.8e-05	0.977842	0.02209
184	0.00016	0.981504	0.018336
185	2e-06	0.999188	0.00081
186	0	0.999382	0.000618
187	0	0.999616	0.000384
188	0	0.999726	0.000274
189	0	0.999778	0.000222
190	2e-06	0.998456	0.001542
191	0	0.999852	0.000148
192	0	0.999816	0.000184
193	0	0.99976	0.00024
194	0	0.999684	0.000316
195	0	0.999614	0.000386
196	2e-06	0.99932	0.000678
197	0.000108	0.98546	0.014432
198	0	0.998916	0.001084
199	0	0.998316	0.001684
200	0	0.999092	0.000908
201	0	0.998722	0.001278
202	0.007218	0.828554	0.164228
203	0.005516	0.853758	0.140726
204	0.012678	0.769188	0.218134
205	0.000456	0.849066	0.150478
206	0.000156	0.896078	0.103766
207	2.6e-05	0.955944	0.04403
208	2.2e-05	0.97393	0.026048
209	0.001006	0.820058	0.178936
210	0.001622	0.885016	0.113362
211	0.000132	0.89232	0.107548
212	6e-05	0.889668	0.110272
213	1.2e-05	0.986114	0.013874
214	2e-06	0.995972	0.004026
215	9.6e-05	0.847938	0.151966
216	0.000276	0.80248	0.197244
217	0.000732	0.792306	0.206962
218	0.01557	0.779832	0.204598
219	0.025576	0.47287	0.501554
220	0.035034	0.376836	0.58813
221	0.0250057937427578	0.443309385863268	0.531684820393974
222	0.03913	0.475042	0.485828
223	0.009592	0.640722	0.349686
224	0.008808	0.660192	0.331
225	0.012034	0.666166	0.3218
226	0.091764	0.193324	0.714912
227	0.144386	0.103722	0.751892
228	0.134582	0.101454	0.763964
229	0.139556	0.100704	0.75974
230	0.12515	0.168368	0.706482
231	0.121606	0.174842	0.703552
232	0.038542	0.47725	0.484208
233	0.00998	0.682812	0.307208
234	0.00557	0.769034	0.225396
235	0.004586	0.818818	0.176596
236	0.018254	0.699544	0.282202
237	0.841384	0.006092	0.152524
238	0.084226	0.552236	0.363538
239	0.57018125	0.029475	0.40034375
240	0.75075641025641	0.00847179487179487	0.240771794871795
241	0.984334	4.2e-05	0.015624
242	0.75034	0.031742	0.217918
243	0.71694	0.00486	0.2782
244	0.912326	0.000584	0.08709
245	0.960052	0.000226	0.039722
246	0.934436	0.000354	0.06521
247	0.926394	5.2e-05	0.073554
248	0.912562	8.8e-05	0.08735
249	0.764468	0.004644	0.230888
250	0.817522	0.001686	0.180792
251	0.982468	4e-06	0.017528
252	0.986454	2e-06	0.013544
253	0.558162	0.005956	0.435882
254	0.486076	0.02228	0.491644
255	0.028554	0.693722	0.277724
256	0.009602	0.766926	0.223472
257	0.008932	0.782622	0.208446
258	0.081942	0.612268	0.30579
