Arboreal	Non-arboreal	Semi-arboreal
165	0.1058	0.6488	0.2454
166	0.0202	0.9268	0.053
167	0.135	0.6766	0.1884
168	6e-04	0.9758	0.0236
169	0	0.9728	0.0272
170	0	0.9824	0.0176
171	2e-04	0.9852	0.0146
172	4e-04	0.9872	0.0124
173	8e-04	0.9848	0.0144
174	0.002	0.9756	0.0224
175	6e-04	0.9798	0.0196
176	2e-04	0.993	0.0068
177	0	0.9986	0.0014
178	2e-04	0.9912	0.0086
179	4e-04	0.9886	0.011
180	0	0.998	0.002
181	0	0.998	0.002
182	2e-04	0.9922	0.0076
183	0	0.998	0.002
184	2e-04	0.993	0.0068
185	0	0.9994	6e-04
186	0	1	0
187	0	0.9998	2e-04
188	0	0.9998	2e-04
189	0	0.9994	6e-04
190	0	0.9986	0.0014
191	0	1	0
192	0	1	0
193	0	0.9998	2e-04
194	0	0.9996	4e-04
195	0	0.9998	2e-04
196	0	0.9992	8e-04
197	0	0.9954	0.0046
198	0	0.9998	2e-04
199	0	0.999	0.001
200	0	1	0
201	0	0.9994	6e-04
202	6e-04	0.9876	0.0118
203	4e-04	0.9834	0.0162
204	0.003	0.8888	0.1082
205	2e-04	0.9476	0.0522
206	0	0.9806	0.0194
207	0	0.9944	0.0056
208	0	0.9962	0.0038
209	6e-04	0.9178	0.0816
210	2e-04	0.991	0.0088
211	2e-04	0.9902	0.0096
212	0	0.9892	0.0108
213	0	0.9984	0.0016
214	0	0.9992	8e-04
215	0	0.96	0.04
216	0	0.9276	0.0724
217	4e-04	0.916	0.0836
218	0.01	0.876	0.114
219	0.0062	0.6392	0.3546
220	0.0072	0.5414	0.4514
221	0.0072	0.6024	0.3904
222	0.022	0.6296	0.3484
223	0.0034	0.7698	0.2268
224	0.0026	0.7934	0.204
225	0.0042	0.7918	0.204
226	0.0446	0.2198	0.7356
227	0.0802	0.1078	0.812
228	0.078	0.1066	0.8154
229	0.0802	0.1062	0.8136
230	0.0938	0.1826	0.7236
231	0.0882	0.1886	0.7232
232	0.0216	0.647	0.3314
233	0.0048	0.8104	0.1848
234	0.0024	0.8814	0.1162
235	0.003	0.914	0.083
236	0.0138	0.7856	0.2006
237	0.7682	0.0096	0.2222
238	0.011	0.76	0.229
239	0.1774	0.1084	0.7142
240	0.4956	0.0424	0.462
241	0.9614	0	0.0386
242	0.6532	0.032	0.3148
243	0.4452	0.0184	0.5364
244	0.835	0.0014	0.1636
245	0.9424	2e-04	0.0574
246	0.883	0.001	0.116
247	0.8838	2e-04	0.116
248	0.8664	2e-04	0.1334
249	0.5424	0.0156	0.442
250	0.7362	0.0024	0.2614
251	0.9692	0	0.0308
252	0.9774	0	0.0226
253	0.5528	0.006	0.4412
254	0.5112	0.022	0.4668
255	2e-04	0.928	0.0718
256	2e-04	0.9396	0.0602
257	2e-04	0.9422	0.0576
258	0.0214	0.8326	0.146
259	0.0354	0.8144	0.1502
260	0	0.9592	0.0408
261	0.0028	0.973	0.0242
262	0	0.9946	0.0054
263	0	0.9978	0.0022
264	2e-04	0.9954	0.0044
265	0	0.9944	0.0056
266	0	0.998	0.002
267	0	0.9988	0.0012
268	0	0.9988	0.0012
269	0	0.9958	0.0042
270	0	0.9968	0.0032
271	0	0.9978	0.0022
272	0	0.994	0.006
273	0	0.9974	0.0026
274	0	0.9966	0.0034
275	0	0.983	0.017
276	0	0.9916	0.0084
277	0	0.9964	0.0036
278	2e-04	0.9804	0.0194
279	0.069	0.6804	0.2506
280	0	0.9862	0.0138
281	0	0.9896	0.0104
282	2e-04	0.9956	0.0042
283	0	0.9978	0.0022
284	2e-04	0.9938	0.006
285	0	0.9956	0.0044
286	4e-04	0.9862	0.0134
287	0	0.9914	0.0086
288	0.0038	0.9654	0.0308
289	6e-04	0.9756	0.0238
290	0.028	0.8016	0.1704
291	0.1152	0.549	0.3358
292	0.1858	0.5112	0.303
293	0.7372	0.0272	0.2356
294	4e-04	0.9866	0.013
295	4e-04	0.9906	0.009
296	0	0.9952	0.0048
297	4e-04	0.9906	0.009
298	0	0.9998	2e-04
299	0	0.9992	8e-04
300	4e-04	0.9886	0.011
301	2e-04	0.9892	0.0106
302	0.002	0.976	0.022
303	0.0018	0.9792	0.019
304	4e-04	0.9906	0.009
305	0.3062	0.3352	0.3586
306	0.004	0.9636	0.0324
307	0.3206	0.2984	0.381
308	0.7212	0.0072	0.2716
309	0.7182	0.0046	0.2772
310	0.6346	0.0088	0.3566
311	0.2618	0.2406	0.4976
312	0.2202	0.2448	0.535
313	0.1788	0.348	0.4732
314	0.167	0.3888	0.4442
315	0.0088	0.9318	0.0594
316	4e-04	0.9856	0.014
317	0.1314	0.5514	0.3172
318	0.3564	0.0806	0.563
319	0.4208	0.1524	0.4268
320	0.4084	0.0272	0.5644
321	0.495	0.0228	0.4822
322	0.408	0.0274	0.5646
323	0.0226	0.8286	0.1488
324	0.0036	0.9474	0.049
325	0.6434	0.004	0.3526
326	0.7074	0.0012	0.2914
327	0.7318	0.001	0.2672
