Arboreal	Non-arboreal	Semi-arboreal
165	0.024	0.9512	0.0248
166	0.0078	0.9776	0.0146
167	0.032	0.937	0.031
168	0.1658	0.8094	0.0248
169	8e-04	0.9988	4e-04
170	0.2224	0.757	0.0206
171	0.7344	0.0314	0.2342
172	0.7232	0.0234	0.2534
173	0.1338	0.006	0.8602
174	0.2272	0.7644	0.0084
175	0.2166	0.7768	0.0066
176	0.1468	0.846	0.0072
177	0.115	0.874	0.011
178	0.0468	0.8116	0.1416
179	0.0042	0.9932	0.0026
180	0	0.9998	2e-04
181	0.4142	0.5772	0.0086
182	0.4212	0.5642	0.0146
183	0.4932	0.4926	0.0142
184	0.4986	0.4876	0.0138
185	0.036	0.9594	0.0046
186	0.0048	0.993	0.0022
187	0.8372	0.1358	0.027
188	0.8744	0.0876	0.038
189	0.9294	0.0514	0.0192
190	0.5338	0.3834	0.0828
191	0.002	0.9976	4e-04
192	0.0034	0.9964	2e-04
193	0	1	0
194	0	0.9994	6e-04
195	2e-04	0.9992	6e-04
196	0.0014	0.997	0.0016
197	8e-04	0.9984	8e-04
198	0	1	0
199	0	0.9996	4e-04
200	0.0096	0.8366	0.1538
201	6e-04	0.999	4e-04
202	0.0094	0.9888	0.0018
203	0	1	0
204	0.0012	0.9846	0.0142
205	0	1	0
206	0	1	0
207	0	1	0
208	0	0.9998	2e-04
209	0	0.9994	6e-04
210	4e-04	0.9784	0.0212
211	6e-04	0.9416	0.0578
212	6e-04	0.9356	0.0638
213	0	0.9998	2e-04
214	0	0.9996	4e-04
215	0	1	0
216	0	1	0
217	4e-04	0.9988	8e-04
218	0.001	0.9962	0.0028
219	0.0018	0.9958	0.0024
220	0.0012	0.997	0.0018
221	6e-04	0.996	0.0034
222	0.0018	0.9844	0.0138
223	0.0016	0.9926	0.0058
224	0.0286	0.9392	0.0322
225	0.0248	0.913	0.0622
226	0.0204	0.9142	0.0654
227	0.0172	0.893	0.0898
228	0.0148	0.8974	0.0878
229	0.0024	0.981	0.0166
230	0.0018	0.9966	0.0016
231	0.9824	0.0128	0.0048
232	0	0.9978	0.0022
233	0.0042	0.961	0.0348
234	2e-04	0.9984	0.0014
235	6e-04	0.9982	0.0012
236	0	1	0
237	0	0.9992	8e-04
238	2e-04	0.999	8e-04
239	2e-04	0.9998	0
240	0	1	0
241	6e-04	0.9988	6e-04
242	0	1	0
243	4e-04	0.999	6e-04
244	0	1	0
245	0	1	0
246	0	1	0
247	2e-04	0.9998	0
248	0	1	0
249	0	1	0
250	0	1	0
251	0	1	0
252	0	1	0
253	0	1	0
254	2e-04	0.9996	2e-04
255	0	1	0
256	0	0.9998	2e-04
257	0	1	0
258	0	1	0
259	0	1	0
260	0	1	0
261	0.0896	0.9086	0.0018
262	0.0848	0.9126	0.0026
263	0.2722	0.486	0.2418
264	0.0212	0.9778	0.001
265	0.0054	0.9922	0.0024
266	2e-04	0.9998	0
267	0	1	0
268	2e-04	0.9996	2e-04
269	0.001	0.9972	0.0018
270	2e-04	0.9998	0
271	0.0222	0.9718	0.006
272	0	0.9996	4e-04
273	2e-04	0.9998	0
274	0	1	0
275	0	1	0
276	0	0.9996	4e-04
277	2e-04	0.9996	2e-04
278	0.0168	0.9638	0.0194
279	0.0154	0.9374	0.0472
280	2e-04	0.9992	6e-04
281	8e-04	0.9972	0.002
282	0	1	0
283	0	1	0
284	2e-04	0.9996	2e-04
285	2e-04	0.9994	4e-04
286	0	1	0
287	0	0.9998	2e-04
288	0	1	0
289	0	1	0
290	0	1	0
291	0	1	0
292	0	0.9964	0.0036
293	2e-04	0.9996	2e-04
294	2e-04	0.9986	0.0012
295	0	1	0
296	0	1	0
297	0	0.9996	4e-04
298	0.6082	0.3856	0.0062
299	0.9988	8e-04	4e-04
300	0.9386	0.058	0.0034
301	0.977	0.021	0.002
302	0.9828	0.0082	0.009
303	1	0	0
304	1	0	0
305	0.9146	0.0316	0.0538
306	0.9126	0.0488	0.0386
307	0.9992	8e-04	0
308	0.9982	0.0012	6e-04
309	0.9992	4e-04	4e-04
310	0.99	8e-04	0.0092
311	0.992	8e-04	0.0072
312	0.0022	0.9974	4e-04
313	0.1144	0.873	0.0126
314	0.3204	0.6666	0.013
315	0.9532	0.041	0.0058
316	0.3408	0.6434	0.0158
317	2e-04	0.9996	2e-04
318	0	1	0
319	0	1	0
320	4e-04	0.998	0.0016
321	2e-04	0.9992	6e-04
322	0.0012	0.9962	0.0026
323	0	0.9996	4e-04
324	8e-04	0.9972	0.002
325	4e-04	0.999	6e-04
326	0	1	0
327	2e-04	0.9998	0
